Bulan,Nama Barang,Total Disewa,Estimasi Pemasukan
1,Cooking Set,8.0,0.0
1,Cover Bag,4.0,40000.0
1,Flysheet,58.0,1160000.0
1,Gas Rent,79.0,1580000.0
1,Gas Tukar,2.0,44000.0
1,Gelas,2.0,0.0
1,Headlamp,4.0,40000.0
1,Kain Jaring Mesh,24.0,0.0
1,Kompor,70.0,1400000.0
1,Kompor Besar,4.0,0.0
1,Kursi,53.0,1060000.0
1,Lampu,73.0,730000.0
1,Matras,83.0,2075000.0
1,Meja,36.0,0.0
1,Nesting,87.0,0.0
1,Pasak,37.0,0.0
1,Resleting Tenda,24.0,0.0
1,SB,25.0,0.0
1,Sarung Tangan,8.0,120000.0
1,Senter,17.0,0.0
1,Senter Kepala Luby,4.0,0.0
1,Sepatu,11.0,0.0
1,Sleeping Pad,19.0,0.0
1,Tali,28.0,140000.0
1,Tarrebi 60L,1.0,0.0
1,Tas,24.0,0.0
1,Tas Consina Tarrebi 60L Include CB,1.0,0.0
1,Tempat Telur,20.0,0.0
1,Tenda,113.0,5650000.0
1,Tiang Flysheet,19.0,0.0
2,Flysheet,51.0,1020000.0
2,Gantungan Tembok,10.0,0.0
2,Gas,29.0,0.0
2,Gelas,5.0,0.0
2,Headlamp,28.0,280000.0
2,Jaket,4.0,100000.0
2,Kompor,34.0,680000.0
2,Kursi,27.0,540000.0
2,Lampu,40.0,400000.0
2,Matras,83.0,2075000.0
2,Meja,19.0,0.0
2,Nesting,17.0,0.0
2,Plastik,19.0,0.0
2,SB,53.0,0.0
2,Sarung Tangan,3.0,45000.0
2,Senter,9.0,0.0
2,Sepatu,21.0,0.0
2,Tas,47.0,0.0
2,Tenda,74.0,3700000.0
2,Trekking Pole,35.0,875000.0
3,Arang Briket,10.0,0.0
3,Flysheet,17.0,340000.0
3,Gas,29.0,0.0
3,Gas Rent,1.0,20000.0
3,Gelas,10.0,0.0
3,Grill Box,10.0,0.0
3,Headlamp,36.0,360000.0
3,Kursi,20.0,400000.0
3,Lampu,46.0,460000.0
3,Matras,46.0,1150000.0
3,Meja,5.0,0.0
3,Nesting,27.0,0.0
3,Paket Grill,10.0,0.0
3,Pasak,22.0,0.0
3,SB,37.0,0.0
3,Sarung Tangan,7.0,105000.0
3,Sepatu,29.0,0.0
3,Tali,10.0,50000.0
3,Tas,39.0,0.0
3,Tenda,73.0,3650000.0
3,Trekking Pole,43.0,1075000.0
4,Alat Tusuk Sate Besi,16.0,0.0
4,Cover Bag,12.0,120000.0
4,Flysheet,23.0,460000.0
4,Gantungan Tembok,10.0,0.0
4,Gas,81.0,0.0
4,Gas Refill,3.0,0.0
4,Gas Rent,10.0,200000.0
4,Gelas,29.0,0.0
4,Headlamp,25.0,250000.0
4,Kompor,93.0,1860000.0
4,Kompor Besar,2.0,0.0
4,Kursi,53.0,1060000.0
4,Lampu,81.0,810000.0
4,Manset,5.0,0.0
4,Matras,126.0,3150000.0
4,Meja,25.0,0.0
4,Nesting,98.0,0.0
4,Paket Gril,3.0,0.0
4,Paket Grill,1.0,0.0
4,Pasak,12.0,0.0
4,Pasak Patok Besi,20.0,0.0
4,Penahan Angin,36.0,0.0
4,Peralatan Makan,14.0,0.0
4,SB,44.0,0.0
4,Sarung Tangan,15.0,225000.0
4,Sepatu,23.0,0.0
4,Sleeping Bag,1.0,30000.0
4,Tali,10.0,50000.0
4,Tas,50.0,0.0
4,Tenda,169.0,8450000.0
4,Trekking Pole,37.0,925000.0
5,CB,0.0,0.0
5,Fly Sheet,0.0,0.0
5,Fly sheet,0.0,0.0
5,Flysheet,0.0,0.0
5,Gas (Beli),0.0,0.0
